#1
double profiles(8760,3)
763200.0 0.000000 0.750000
766800.0 0.000000 0.520000
770400.0 0.000000 0.350000
774000.0 0.000000 0.260000
777600.0 0.000000 0.220000
781200.0 0.000000 0.180000
784800.0 0.000000 0.160000
788400.0 0.000000 0.160000
792000.0 0.000000 0.180000
795600.0 0.000000 0.280000
799200.0 0.000000 0.400000
802800.0 0.000000 0.450000
806400.0 0.096106 0.500000
810000.0 0.289856 0.550000
813600.0 0.450167 0.580000
817200.0 0.562454 0.600000
820800.0 0.623705 0.580000
824400.0 0.633685 0.550000
828000.0 0.593226 0.520000
831600.0 0.503704 0.550000
835200.0 0.367535 0.680000
838800.0 0.190994 0.880000
842400.0 0.016466 1.000000
846000.0 0.000000 0.950000
849600.0 0.000000 0.750000
853200.0 0.000000 0.520000
856800.0 0.000000 0.350000
860400.0 0.000000 0.260000
864000.0 0.000000 0.220000
867600.0 0.000000 0.180000
871200.0 0.000000 0.160000
874800.0 0.000000 0.160000
878400.0 0.000000 0.180000
882000.0 0.000000 0.280000
885600.0 0.000000 0.400000
889200.0 0.000000 0.450000
892800.0 0.095071 0.500000
896400.0 0.288872 0.550000
900000.0 0.449533 0.580000
903600.0 0.562217 0.600000
907200.0 0.623855 0.580000
910800.0 0.634193 0.550000
914400.0 0.594055 0.520000
918000.0 0.504816 0.550000
921600.0 0.368888 0.680000
925200.0 0.192536 0.880000
928800.0 0.017375 1.000000
932400.0 0.000000 0.950000
936000.0 0.000000 0.750000
939600.0 0.000000 0.520000
943200.0 0.000000 0.350000
946800.0 0.000000 0.260000
950400.0 0.000000 0.220000
954000.0 0.000000 0.180000
957600.0 0.000000 0.160000
961200.0 0.000000 0.160000
964800.0 0.000000 0.180000
968400.0 0.000000 0.280000
972000.0 0.000000 0.400000
975600.0 0.000000 0.450000
979200.0 0.094097 0.500000
982800.0 0.287945 0.550000
986400.0 0.448950 0.580000
990000.0 0.562025 0.600000
993600.0 0.624042 0.580000
997200.0 0.634729 0.550000
1000800.0 0.594905 0.520000
1004400.0 0.505938 0.550000
1008000.0 0.370244 0.680000
1011600.0 0.194074 0.880000
1015200.0 0.018302 1.000000
1018800.0 0.000000 0.950000
1022400.0 0.000000 0.750000
1026000.0 0.000000 0.520000
1029600.0 0.000000 0.350000
1033200.0 0.000000 0.260000
1036800.0 0.000000 0.220000
1040400.0 0.000000 0.180000
1044000.0 0.000000 0.160000
1047600.0 0.000000 0.160000
1051200.0 0.000000 0.180000
1054800.0 0.000000 0.280000
1058400.0 0.000000 0.400000
1062000.0 0.000000 0.450000
1065600.0 0.093184 0.500000
1069200.0 0.287077 0.550000
1072800.0 0.448419 0.580000
1076400.0 0.561877 0.600000
1080000.0 0.624265 0.580000
1083600.0 0.635294 0.550000
1087200.0 0.595774 0.520000
1090800.0 0.507071 0.550000
1094400.0 0.371600 0.680000
1098000.0 0.195607 0.880000
1101600.0 0.019245 1.000000
1105200.0 0.000000 0.950000
1108800.0 0.000000 0.750000
1112400.0 0.000000 0.520000
1116000.0 0.000000 0.350000
1119600.0 0.000000 0.260000
1123200.0 0.000000 0.220000
1126800.0 0.000000 0.180000
1130400.0 0.000000 0.160000
1134000.0 0.000000 0.160000
1137600.0 0.000000 0.180000
1141200.0 0.000000 0.280000
1144800.0 0.000000 0.400000
1148400.0 0.000000 0.450000
1152000.0 0.092333 0.500000
1155600.0 0.286269 0.550000
1159200.0 0.447940 0.580000
1162800.0 0.561772 0.600000
1166400.0 0.624524 0.580000
1170000.0 0.635885 0.550000
1173600.0 0.596659 0.520000
1177200.0 0.508211 0.550000
1180800.0 0.372956 0.680000
1184400.0 0.197131 0.880000
1188000.0 0.020202 1.000000
1191600.0 0.000000 0.950000
1195200.0 0.000000 0.750000
1198800.0 0.000000 0.520000
1202400.0 0.000000 0.350000
1206000.0 0.000000 0.260000
1209600.0 0.000000 0.220000
1213200.0 0.000000 0.180000
1216800.0 0.000000 0.160000
1220400.0 0.000000 0.160000
1224000.0 0.000000 0.180000
1227600.0 0.000000 0.280000
1231200.0 0.000000 0.400000
1234800.0 0.000000 0.450000
1238400.0 0.091543 0.500000
1242000.0 0.285520 0.550000
1245600.0 0.447513 0.580000
1249200.0 0.561711 0.600000
1252800.0 0.624817 0.580000
1256400.0 0.636501 0.550000
1260000.0 0.597560 0.520000
1263600.0 0.509357 0.550000
1267200.0 0.374308 0.680000
1270800.0 0.198645 0.880000
1274400.0 0.021171 1.000000
1278000.0 0.000000 0.950000
1281600.0 0.000000 0.750000
1285200.0 0.000000 0.520000
1288800.0 0.000000 0.350000
1292400.0 0.000000 0.260000
1296000.0 0.000000 0.220000
1299600.0 0.000000 0.180000
1303200.0 0.000000 0.160000
1306800.0 0.000000 0.160000
1310400.0 0.000000 0.180000
1314000.0 0.000000 0.280000
1317600.0 0.000000 0.400000
1321200.0 0.000000 0.450000
1324800.0 0.090828 0.500000
1328400.0 0.284848 0.550000
1332000.0 0.447155 0.580000
1335600.0 0.561710 0.600000
1339200.0 0.625160 0.580000
1342800.0 0.637157 0.550000
1346400.0 0.598492 0.520000
1350000.0 0.510525 0.550000
1353600.0 0.375672 0.680000
1357200.0 0.200162 0.880000
1360800.0 0.022155 1.000000
1364400.0 0.000000 0.950000
1368000.0 0.000000 0.750000
1371600.0 0.000000 0.520000
1375200.0 0.000000 0.350000
1378800.0 0.000000 0.260000
1382400.0 0.000000 0.220000
1386000.0 0.000000 0.180000
1389600.0 0.000000 0.160000
1393200.0 0.000000 0.160000
1396800.0 0.000000 0.180000
1400400.0 0.000000 0.280000
1404000.0 0.000000 0.400000
1407600.0 0.000000 0.450000
1411200.0 0.090186 0.500000
1414800.0 0.284252 0.550000
1418400.0 0.446864 0.580000
1422000.0 0.561767 0.600000
1425600.0 0.625552 0.580000
1429200.0 0.637853 0.550000
1432800.0 0.599453 0.520000
1436400.0 0.511711 0.550000
1440000.0 0.377046 0.680000
1443600.0 0.201680 0.880000
